/**********
/* Binary converter version 0.1
/* 
/* FileName:	Fetal_1970_01_01_09_00_00
/* Probe Type:	Convex
/* Preset:	Fetal
/* Frame:	120
/**********


Frame:	Depth	Focal	TGC1	TGC2	TGC3	TGC4	DR
0000:	19.0	9.0	50	60	73	72	78
0001:	19.0	9.0	50	60	73	72	78
0002:	19.0	9.0	50	60	73	72	78
0003:	19.0	9.0	50	60	73	72	78
0004:	19.0	9.0	50	60	73	72	78
0005:	19.0	9.0	50	60	73	72	78
0006:	19.0	9.0	50	60	73	72	78
0007:	19.0	9.0	50	60	73	72	78
0008:	19.0	9.0	50	60	73	72	78
0009:	19.0	9.0	50	60	73	72	78
0010:	19.0	9.0	50	60	73	72	78
0011:	19.0	9.0	50	60	73	72	78
0012:	19.0	9.0	50	60	73	72	78
0013:	19.0	9.0	50	60	73	72	78
0014:	19.0	9.0	50	60	73	72	78
0015:	19.0	9.0	50	60	73	72	78
0016:	19.0	9.0	50	60	73	72	78
0017:	19.0	9.0	50	60	73	72	78
0018:	19.0	9.0	50	60	73	72	78
0019:	19.0	9.0	50	60	73	72	78
0020:	19.0	9.0	50	60	73	72	78
0021:	19.0	9.0	50	60	73	72	78
0022:	19.0	9.0	50	60	73	72	78
0023:	19.0	9.0	50	60	73	72	78
0024:	19.0	9.0	50	60	73	72	78
0025:	19.0	9.0	50	60	73	72	78
0026:	19.0	9.0	50	60	73	72	78
0027:	19.0	9.0	50	60	73	72	78
0028:	19.0	9.0	50	60	73	72	78
0029:	19.0	9.0	50	60	73	72	78
0030:	19.0	9.0	50	60	73	72	78
0031:	19.0	9.0	50	60	73	72	78
0032:	19.0	9.0	50	60	73	72	78
0033:	19.0	9.0	50	60	73	72	78
0034:	19.0	9.0	50	60	73	72	78
0035:	19.0	9.0	50	60	73	72	78
0036:	19.0	9.0	50	60	73	72	78
0037:	19.0	9.0	50	60	73	72	78
0038:	19.0	9.0	50	60	73	72	78
0039:	19.0	9.0	50	60	73	72	78
0040:	19.0	9.0	50	60	73	72	78
0041:	19.0	9.0	50	60	73	72	78
0042:	19.0	9.0	50	60	73	72	78
0043:	19.0	9.0	50	60	73	72	78
0044:	19.0	9.0	50	60	73	72	78
0045:	19.0	9.0	50	60	73	72	78
0046:	19.0	9.0	50	60	73	72	78
0047:	19.0	9.0	50	60	73	72	78
0048:	19.0	9.0	50	60	73	72	78
0049:	19.0	9.0	50	60	73	72	78
0050:	19.0	9.0	50	60	73	72	78
0051:	19.0	9.0	50	60	73	72	78
0052:	19.0	9.0	50	60	73	72	78
0053:	19.0	9.0	50	60	73	72	78
0054:	19.0	9.0	50	60	73	72	78
0055:	19.0	9.0	50	60	73	72	78
0056:	19.0	9.0	50	60	73	72	78
0057:	19.0	9.0	50	60	73	72	78
0058:	19.0	9.0	50	60	73	72	78
0059:	19.0	9.0	50	60	73	72	78
0060:	19.0	9.0	50	60	73	72	78
0061:	19.0	9.0	50	60	73	72	78
0062:	19.0	9.0	50	60	73	72	78
0063:	19.0	9.0	50	60	73	72	78
0064:	19.0	9.0	50	60	73	72	78
0065:	19.0	9.0	50	60	73	72	78
0066:	19.0	9.0	50	60	73	72	78
0067:	19.0	9.0	50	60	73	72	78
0068:	19.0	9.0	50	60	73	72	78
0069:	19.0	9.0	50	60	73	72	78
0070:	19.0	9.0	50	60	73	72	78
0071:	19.0	9.0	50	60	73	72	78
0072:	19.0	9.0	50	60	73	72	78
0073:	19.0	9.0	50	60	73	72	78
0074:	19.0	9.0	50	60	73	72	78
0075:	19.0	9.0	50	60	73	72	78
0076:	19.0	9.0	50	60	73	72	78
0077:	19.0	9.0	50	60	73	72	78
0078:	19.0	9.0	50	60	73	72	78
0079:	19.0	9.0	50	60	73	72	78
0080:	19.0	9.0	50	60	73	72	78
0081:	19.0	9.0	50	60	73	72	78
0082:	19.0	9.0	50	60	73	72	78
0083:	19.0	9.0	50	60	73	72	78
0084:	19.0	9.0	50	60	73	72	78
0085:	19.0	9.0	50	60	73	72	78
0086:	19.0	9.0	50	60	73	72	78
0087:	19.0	9.0	50	60	73	72	78
0088:	19.0	9.0	50	60	73	72	78
0089:	19.0	9.0	50	60	73	72	78
0090:	19.0	9.0	50	60	73	72	78
0091:	19.0	9.0	50	60	73	72	78
0092:	19.0	9.0	50	60	73	72	78
0093:	19.0	9.0	50	60	73	72	78
0094:	19.0	9.0	50	60	73	72	78
0095:	19.0	9.0	50	60	73	72	78
0096:	19.0	9.0	50	60	73	72	78
0097:	19.0	9.0	50	60	73	72	78
0098:	19.0	9.0	50	60	73	72	78
0099:	19.0	9.0	50	60	73	72	78
0100:	19.0	9.0	50	60	73	72	78
0101:	19.0	9.0	50	60	73	72	78
0102:	19.0	9.0	50	60	73	72	78
0103:	19.0	9.0	50	60	73	72	78
0104:	19.0	9.0	50	60	73	72	78
0105:	19.0	9.0	50	60	73	72	78
0106:	19.0	9.0	50	60	73	72	78
0107:	19.0	9.0	50	60	73	72	78
0108:	19.0	9.0	50	60	73	72	78
0109:	19.0	9.0	50	60	73	72	78
0110:	19.0	9.0	50	60	73	72	78
0111:	19.0	9.0	50	60	73	72	78
0112:	19.0	9.0	50	60	73	72	78
0113:	19.0	9.0	50	60	73	72	78
0114:	19.0	9.0	50	60	73	72	78
0115:	19.0	9.0	50	60	73	72	78
0116:	19.0	9.0	50	60	73	72	78
0117:	19.0	9.0	50	60	73	72	78
0118:	19.0	9.0	50	60	73	72	78
0119:	19.0	9.0	50	60	73	72	78

/* End of Data
