/**********
/* Binary converter version 0.1
/* 
/* FileName:	(null)_1970_01_01_09_00_00
/* Probe Type:	Convex
/* Preset:	Baby_Face
/* Frame:	120
/**********


Frame:	Depth	Focal	TGC1	TGC2	TGC3	TGC4	DR
0000:	18.0	8.0	43	53	64	80	78
0001:	18.0	8.0	43	53	64	80	78
0002:	18.0	8.0	43	53	64	80	78
0003:	18.0	8.0	43	53	64	80	78
0004:	18.0	8.0	43	53	64	80	78
0005:	18.0	8.0	43	53	64	80	78
0006:	18.0	8.0	43	53	64	80	78
0007:	18.0	8.0	43	53	64	80	78
0008:	18.0	8.0	43	53	64	80	78
0009:	18.0	8.0	43	53	64	80	78
0010:	18.0	8.0	43	53	64	80	78
0011:	18.0	8.0	43	53	64	80	78
0012:	18.0	8.0	43	53	64	80	78
0013:	18.0	8.0	43	53	64	80	78
0014:	18.0	8.0	43	53	64	80	78
0015:	18.0	8.0	43	53	64	80	78
0016:	18.0	8.0	43	53	64	80	78
0017:	18.0	8.0	43	53	64	80	78
0018:	18.0	8.0	43	53	64	80	78
0019:	18.0	8.0	43	53	64	80	78
0020:	18.0	8.0	43	53	64	80	78
0021:	18.0	8.0	43	53	64	80	78
0022:	18.0	8.0	43	53	64	80	78
0023:	18.0	8.0	43	53	64	80	78
0024:	18.0	8.0	43	53	64	80	78
0025:	18.0	8.0	43	53	64	80	78
0026:	18.0	8.0	43	53	64	80	78
0027:	18.0	8.0	43	53	64	80	78
0028:	18.0	8.0	43	53	64	80	78
0029:	18.0	8.0	43	53	64	80	78
0030:	18.0	8.0	43	53	64	80	78
0031:	18.0	8.0	43	53	64	80	78
0032:	18.0	8.0	43	53	64	80	78
0033:	18.0	8.0	43	53	64	80	78
0034:	18.0	8.0	43	53	64	80	78
0035:	18.0	8.0	43	53	64	80	78
0036:	18.0	8.0	43	53	64	80	78
0037:	18.0	8.0	43	53	64	80	78
0038:	18.0	8.0	43	53	64	80	78
0039:	18.0	8.0	43	53	64	80	78
0040:	18.0	8.0	43	53	64	80	78
0041:	18.0	8.0	43	53	64	80	78
0042:	18.0	8.0	43	53	64	80	78
0043:	18.0	8.0	43	53	64	80	78
0044:	18.0	8.0	43	53	64	80	78
0045:	18.0	8.0	43	53	64	80	78
0046:	18.0	8.0	43	53	64	80	78
0047:	18.0	8.0	43	53	64	80	78
0048:	18.0	8.0	43	53	64	80	78
0049:	18.0	8.0	43	53	64	80	78
0050:	18.0	8.0	43	53	64	80	78
0051:	18.0	8.0	43	53	64	80	78
0052:	18.0	8.0	43	53	64	80	78
0053:	18.0	8.0	43	53	64	80	78
0054:	18.0	8.0	43	53	64	80	78
0055:	18.0	8.0	43	53	64	80	78
0056:	18.0	8.0	43	53	64	80	78
0057:	18.0	8.0	43	53	64	80	78
0058:	18.0	8.0	43	53	64	80	78
0059:	18.0	8.0	43	53	64	80	78
0060:	18.0	8.0	43	53	64	80	78
0061:	18.0	8.0	43	53	64	80	78
0062:	18.0	8.0	43	53	64	80	78
0063:	18.0	8.0	43	53	64	80	78
0064:	18.0	8.0	43	53	64	80	78
0065:	18.0	8.0	43	53	64	80	78
0066:	18.0	8.0	43	53	64	80	78
0067:	18.0	8.0	43	53	64	80	78
0068:	18.0	8.0	43	53	64	80	78
0069:	18.0	8.0	43	53	64	80	78
0070:	18.0	8.0	43	53	64	80	78
0071:	18.0	8.0	43	53	64	80	78
0072:	18.0	8.0	43	53	64	80	78
0073:	18.0	8.0	43	53	64	80	78
0074:	18.0	8.0	43	53	64	80	78
0075:	18.0	8.0	43	53	64	80	78
0076:	18.0	8.0	43	53	64	80	78
0077:	18.0	8.0	43	53	64	80	78
0078:	18.0	8.0	43	53	64	80	78
0079:	18.0	8.0	43	53	64	80	78
0080:	18.0	8.0	43	53	64	80	78
0081:	18.0	8.0	43	53	64	80	78
0082:	18.0	8.0	43	53	64	80	78
0083:	18.0	8.0	43	53	64	80	78
0084:	18.0	8.0	43	53	64	80	78
0085:	18.0	8.0	43	53	64	80	78
0086:	18.0	8.0	43	53	64	80	78
0087:	18.0	8.0	43	53	64	80	78
0088:	18.0	8.0	43	53	64	80	78
0089:	18.0	8.0	43	53	64	80	78
0090:	18.0	8.0	43	53	64	80	78
0091:	18.0	8.0	43	53	64	80	78
0092:	18.0	8.0	43	53	64	80	78
0093:	18.0	8.0	43	53	64	80	78
0094:	18.0	8.0	43	53	64	80	78
0095:	18.0	8.0	43	53	64	80	78
0096:	18.0	8.0	43	53	64	80	78
0097:	18.0	8.0	43	53	64	80	78
0098:	18.0	8.0	43	53	64	80	78
0099:	18.0	8.0	43	53	64	80	78
0100:	18.0	8.0	43	53	64	80	78
0101:	18.0	8.0	43	53	64	80	78
0102:	18.0	8.0	43	53	64	80	78
0103:	18.0	8.0	43	53	64	80	78
0104:	18.0	8.0	43	53	64	80	78
0105:	18.0	8.0	43	53	64	80	78
0106:	18.0	8.0	43	53	64	80	78
0107:	18.0	8.0	43	53	64	80	78
0108:	18.0	8.0	43	53	64	80	78
0109:	18.0	8.0	43	53	64	80	78
0110:	18.0	8.0	43	53	64	80	78
0111:	18.0	8.0	43	53	64	80	78
0112:	18.0	8.0	43	53	64	80	78
0113:	18.0	8.0	43	53	64	80	78
0114:	18.0	8.0	43	53	64	80	78
0115:	18.0	8.0	43	53	64	80	78
0116:	18.0	8.0	43	53	64	80	78
0117:	18.0	8.0	43	53	64	80	78
0118:	18.0	8.0	43	53	64	80	78
0119:	18.0	8.0	43	53	64	80	78

/* End of Data
