/**********
/* Binary converter version 0.1
/* 
/* FileName:	(null)_1970_01_01_09_00_00
/* Probe Type:	Convex
/* Preset:	Baby_Leg
/* Frame:	120
/**********


Frame:	Depth	Focal	TGC1	TGC2	TGC3	TGC4	DR
0000:	15.0	8.0	39	53	64	80	78
0001:	15.0	8.0	39	53	64	80	78
0002:	15.0	8.0	39	53	64	80	78
0003:	15.0	8.0	39	53	64	80	78
0004:	15.0	8.0	39	53	64	80	78
0005:	15.0	8.0	39	53	64	80	78
0006:	15.0	8.0	39	53	64	80	78
0007:	15.0	8.0	39	53	64	80	78
0008:	15.0	8.0	39	53	64	80	78
0009:	15.0	8.0	39	53	64	80	78
0010:	15.0	8.0	39	53	64	80	78
0011:	15.0	8.0	39	53	64	80	78
0012:	15.0	8.0	39	53	64	80	78
0013:	15.0	8.0	39	53	64	80	78
0014:	15.0	8.0	39	53	64	80	78
0015:	15.0	8.0	39	53	64	80	78
0016:	15.0	8.0	39	53	64	80	78
0017:	15.0	8.0	39	53	64	80	78
0018:	15.0	8.0	39	53	64	80	78
0019:	15.0	8.0	39	53	64	80	78
0020:	15.0	8.0	39	53	64	80	78
0021:	15.0	8.0	39	53	64	80	78
0022:	15.0	8.0	39	53	64	80	78
0023:	15.0	8.0	39	53	64	80	78
0024:	15.0	8.0	39	53	64	80	78
0025:	15.0	8.0	39	53	64	80	78
0026:	15.0	8.0	39	53	64	80	78
0027:	15.0	8.0	39	53	64	80	78
0028:	15.0	8.0	39	53	64	80	78
0029:	15.0	8.0	39	53	64	80	78
0030:	15.0	8.0	39	53	64	80	78
0031:	15.0	8.0	39	53	64	80	78
0032:	15.0	8.0	39	53	64	80	78
0033:	15.0	8.0	39	53	64	80	78
0034:	15.0	8.0	39	53	64	80	78
0035:	15.0	8.0	39	53	64	80	78
0036:	15.0	8.0	39	53	64	80	78
0037:	15.0	8.0	39	53	64	80	78
0038:	15.0	8.0	39	53	64	80	78
0039:	15.0	8.0	39	53	64	80	78
0040:	15.0	8.0	39	53	64	80	78
0041:	15.0	8.0	39	53	64	80	78
0042:	15.0	8.0	39	53	64	80	78
0043:	15.0	8.0	39	53	64	80	78
0044:	15.0	8.0	39	53	64	80	78
0045:	15.0	8.0	39	53	64	80	78
0046:	15.0	8.0	39	53	64	80	78
0047:	15.0	8.0	39	53	64	80	78
0048:	15.0	8.0	39	53	64	80	78
0049:	15.0	8.0	39	53	64	80	78
0050:	15.0	8.0	39	53	64	80	78
0051:	15.0	8.0	39	53	64	80	78
0052:	15.0	8.0	39	53	64	80	78
0053:	15.0	8.0	39	53	64	80	78
0054:	15.0	8.0	39	53	64	80	78
0055:	15.0	8.0	39	53	64	80	78
0056:	15.0	8.0	39	53	64	80	78
0057:	15.0	8.0	39	53	64	80	78
0058:	15.0	8.0	39	53	64	80	78
0059:	15.0	8.0	39	53	64	80	78
0060:	15.0	8.0	39	53	64	80	78
0061:	15.0	8.0	39	53	64	80	78
0062:	15.0	8.0	39	53	64	80	78
0063:	15.0	8.0	39	53	64	80	78
0064:	15.0	8.0	39	53	64	80	78
0065:	15.0	8.0	39	53	64	80	78
0066:	15.0	8.0	39	53	64	80	78
0067:	15.0	8.0	39	53	64	80	78
0068:	15.0	8.0	39	53	64	80	78
0069:	15.0	8.0	39	53	64	80	78
0070:	15.0	8.0	39	53	64	80	78
0071:	15.0	8.0	39	53	64	80	78
0072:	15.0	8.0	39	53	64	80	78
0073:	15.0	8.0	39	53	64	80	78
0074:	15.0	8.0	39	53	64	80	78
0075:	15.0	8.0	39	53	64	80	78
0076:	15.0	8.0	39	53	64	80	78
0077:	15.0	8.0	39	53	64	80	78
0078:	15.0	8.0	39	53	64	80	78
0079:	15.0	8.0	39	53	64	80	78
0080:	15.0	8.0	39	53	64	80	78
0081:	15.0	8.0	39	53	64	80	78
0082:	15.0	8.0	39	53	64	80	78
0083:	15.0	8.0	39	53	64	80	78
0084:	15.0	8.0	39	53	64	80	78
0085:	15.0	8.0	39	53	64	80	78
0086:	15.0	8.0	39	53	64	80	78
0087:	15.0	8.0	39	53	64	80	78
0088:	15.0	8.0	39	53	64	80	78
0089:	15.0	8.0	39	53	64	80	78
0090:	15.0	8.0	39	53	64	80	78
0091:	15.0	8.0	39	53	64	80	78
0092:	15.0	8.0	39	53	64	80	78
0093:	15.0	8.0	39	53	64	80	78
0094:	15.0	8.0	39	53	64	80	78
0095:	15.0	8.0	39	53	64	80	78
0096:	15.0	8.0	39	53	64	80	78
0097:	15.0	8.0	39	53	64	80	78
0098:	15.0	8.0	39	53	64	80	78
0099:	15.0	8.0	39	53	64	80	78
0100:	15.0	8.0	39	53	64	80	78
0101:	15.0	8.0	39	53	64	80	78
0102:	15.0	8.0	39	53	64	80	78
0103:	15.0	8.0	39	53	64	80	78
0104:	15.0	8.0	39	53	64	80	78
0105:	15.0	8.0	39	53	64	80	78
0106:	15.0	8.0	39	53	64	80	78
0107:	15.0	8.0	39	53	64	80	78
0108:	15.0	8.0	39	53	64	80	78
0109:	15.0	8.0	39	53	64	80	78
0110:	15.0	8.0	39	53	64	80	78
0111:	15.0	8.0	39	53	64	80	78
0112:	15.0	8.0	39	53	64	80	78
0113:	15.0	8.0	39	53	64	80	78
0114:	15.0	8.0	39	53	64	80	78
0115:	15.0	8.0	39	53	64	80	78
0116:	15.0	8.0	39	53	64	80	78
0117:	15.0	8.0	39	53	64	80	78
0118:	15.0	8.0	39	53	64	80	78
0119:	15.0	8.0	39	53	64	80	78

/* End of Data
